#Types Before Cut: 11091
#Types After Cut: 9685
#Search Hits: 0
242	13	34.247	спать
243	13	34.247	твои
244	13	34.247	учились
245	28	34.222	обычно
246	20	33.555	другому
247	17	33.245	пошла
248	15	32.658	будешь
249	15	32.658	понял
250	15	32.658	поняла
251	15	32.658	сюда
252	28	32.377	таки
253	34	32.249	голос
254	24	32.225	принципе
255	113	31.859	даже
256	12	31.613	берег
257	12	31.613	весело
258	12	31.613	детстве
259	12	31.613	квартиру
260	12	31.613	круто
261	12	31.613	любят
262	12	31.613	поговорить
263	12	31.613	пятьдесят
264	12	31.613	смешно
265	49	31.562	всегда
266	16	30.840	школа
267	16	30.840	языке
268	20	30.786	дочка
269	21	30.460	хоть
270	21	30.460	язык
271	36	30.278	две
272	14	30.157	домой
273	17	29.747	давайте
274	18	29.051	дом
275	11	28.978	inan
276	11	28.978	девочки
277	11	28.978	девяносто
278	11	28.978	здорово
279	11	28.978	знала
280	11	28.978	кадра
281	11	28.978	классно
282	11	28.978	кхм
283	11	28.978	понимаешь
284	11	28.978	расскажу
285	11	28.978	рассказчик
286	11	28.978	смеётся
287	11	28.978	смотри
288	11	28.978	соседка
289	11	28.978	училась
290	11	28.978	холодно
291	19	28.608	младший
292	26	28.580	самое
293	26	28.580	смысле
294	156	28.501	или
295	15	28.448	играть
296	21	28.197	жить
297	13	27.666	концерт
298	13	27.666	семья
299	13	27.666	ходить
300	13	27.666	честно
301	16	27.447	видео
302	17	26.829	моей
303	18	26.452	понимаю
304	10	26.344	бывают
305	10	26.344	вкус
306	10	26.344	восемьдесят
307	10	26.344	дед
308	10	26.344	дедушка
309	10	26.344	ехать
310	10	26.344	забыл
311	10	26.344	иии
312	10	26.344	картинка
313	10	26.344	кашель
314	10	26.344	нуу
315	10	26.344	озеро
316	10	26.344	пол
317	10	26.344	прикольно
318	10	26.344	ребята
319	10	26.344	своё
320	10	26.344	слушай
321	10	26.344	смешок
322	10	26.344	собака
323	10	26.344	ушёл
324	19	26.241	н
325	19	26.241	слово
326	22	26.218	какую
327	22	26.218	часов
328	14	26.072	собственно
329	27	25.736	моя
330	12	25.185	вдруг
331	12	25.185	делаю
332	12	25.185	купил
333	15	25.167	ж
334	50	25.045	день
335	39	24.962	людей
336	16	24.629	читать
337	20	24.174	друг
338	20	24.174	места
339	35	24.127	четыре
340	29	23.803	старший
341	13	23.714	какими
342	13	23.714	маленький
343	13	23.714	машина
344	13	23.714	смотреть
345	9	23.710	n
346	9	23.710	ар
347	9	23.710	видишь
348	9	23.710	грустный
349	9	23.710	двенадцать
350	9	23.710	двести
351	9	23.710	женщина
352	9	23.710	кошки
353	9	23.710	папа
354	9	23.710	переехали
355	9	23.710	подожди
356	9	23.710	смесь
357	9	23.710	танцами
358	9	23.710	твой
359	9	23.710	учителя
360	9	23.710	чай
361	9	23.710	эмм
362	27	23.026	слова
363	146	22.967	был
364	14	22.908	d
365	14	22.908	вещи
366	14	22.908	мои
367	11	22.718	давали
368	11	22.718	квартире
369	21	22.573	долго
370	16	22.216	девять
371	28	22.190	совсем
372	18	22.137	русский
373	18	22.137	тему
374	17	22.124	кем
375	27	21.783	каждый
376	29	21.465	сама
377	12	21.377	нравятся
378	8	21.075	acc
379	8	21.075	komm
380	8	21.075	nom
381	8	21.075	ааa
382	8	21.075	английский
383	8	21.075	брови
384	8	21.075	вертолет
385	8	21.075	говорящийа
386	8	21.075	говорящийб
387	8	21.075	грустно
388	8	21.075	делаешь
389	8	21.075	егэ
390	8	21.075	замечательно
391	8	21.075	звук
392	8	21.075	иду
393	8	21.075	интересного
394	8	21.075	колесико
395	8	21.075	любишь
396	8	21.075	лёва
397	8	21.075	мамой
398	8	21.075	мемы
399	8	21.075	моих
400	8	21.075	надя
401	8	21.075	неудобно
402	8	21.075	никит
403	8	21.075	одиннадцать
404	8	21.075	поехал
405	8	21.075	прихожу
406	8	21.075	смотрел
407	8	21.075	смотрела
408	8	21.075	студентов
409	8	21.075	типо
410	8	21.075	умер
411	8	21.075	учился
412	8	21.075	учится
413	8	21.075	хе
414	8	21.075	эт
415	30	20.829	чего
416	36	20.762	одна
417	13	20.676	бывает
418	13	20.676	говорила
419	13	20.676	специально
420	19	20.501	павел
421	14	20.307	надеюсь
422	14	20.307	хотелось
423	10	20.266	интересные
424	10	20.266	рассказывала
425	40	20.193	говорить
426	27	19.492	ей
427	11	19.063	будто
428	11	19.063	знаете
429	11	19.063	отец
430	11	19.063	пошел
431	19	18.927	хотел
432	12	18.472	делали
433	12	18.472	семье
434	7	18.441	бабушкой
435	7	18.441	боже
436	7	18.441	буквы
437	7	18.441	двери
438	7	18.441	детство
439	7	18.441	детьми
440	7	18.441	друзьями
441	7	18.441	ездить
442	7	18.441	ехали
443	7	18.441	живёт
444	7	18.441	забыла
445	7	18.441	задание
446	7	18.441	карл
447	7	18.441	квартиры
448	7	18.441	красивый
449	7	18.441	ненавижу
450	7	18.441	нету
451	7	18.441	ноль
452	7	18.441	одни
453	7	18.441	парень
454	7	18.441	понравилась
455	7	18.441	пошёл
456	7	18.441	пытаюсь
457	7	18.441	ребят
458	7	18.441	секунд
459	7	18.441	скажи
460	7	18.441	сорок
461	7	18.441	супер
462	7	18.441	троих
463	7	18.441	троллейбус
464	7	18.441	человечек
465	7	18.441	читаю
466	7	18.441	чё
467	153	18.383	еще
468	16	18.249	реально
469	16	18.249	уж
470	13	18.191	другую
471	9	17.832	брали
472	9	17.832	друзей
473	9	17.832	едем
474	9	17.832	жил
475	9	17.832	институте
476	9	17.832	историю
477	9	17.832	маленькая
478	9	17.832	мое
479	9	17.832	нечего
480	9	17.832	смеется
481	9	17.832	твоя
482	17	16.856	разные
483	78	16.783	больше
484	10	16.778	мной
485	10	16.778	написано
486	23	16.644	равно
487	29	16.529	соответственно
488	25	16.506	лучше
489	11	16.301	посмотреть
490	11	16.301	скажем
491	11	16.301	считаю
492	19	16.156	говоря
493	12	16.113	друзья
494	12	16.113	купить
495	64	16.105	тогда
496	13	16.095	языка
497	6	15.806	distinct
498	6	15.806	onion
499	6	15.806	part
500	6	15.806	автобус
501	6	15.806	автобусе
502	6	15.806	ам
503	6	15.806	антифриз
504	6	15.806	бабуля
505	6	15.806	бабушки
506	6	15.806	бешбармак
507	6	15.806	бутово
508	6	15.806	вау
509	6	15.806	верно
510	6	15.806	волосы
511	6	15.806	восемнадцать
512	6	15.806	выпускной
513	6	15.806	вышла
514	6	15.806	гончар
515	6	15.806	готовился
516	6	15.806	жигули
517	6	15.806	загрузили
518	6	15.806	запомнила
519	6	15.806	играли
520	6	15.806	идёт
521	6	15.806	колесо
522	6	15.806	коллектив
523	6	15.806	кормила
524	6	15.806	красиво
525	6	15.806	культура
526	6	15.806	лагере
527	6	15.806	лингвистике
528	6	15.806	литературу
529	6	15.806	лук
530	6	15.806	любил
531	6	15.806	любимый
532	6	15.806	математике
533	6	15.806	мгм
534	6	15.806	мем
535	6	15.806	молодец
536	6	15.806	мужик
537	6	15.806	немец
538	6	15.806	ногой
539	6	15.806	обед
540	6	15.806	орешки
541	6	15.806	погрей
542	6	15.806	подумала
543	6	15.806	покупайте
544	6	15.806	полу
545	6	15.806	польский
546	6	15.806	понравился
547	6	15.806	поступил
548	6	15.806	преподаватели
549	6	15.806	причём
550	6	15.806	пятёрка
551	6	15.806	саш
552	6	15.806	семьдесят
553	6	15.806	слышно
554	6	15.806	снимали
555	6	15.806	снимать
556	6	15.806	спал
557	6	15.806	спрашивают
558	6	15.806	спросить
559	6	15.806	студенты
560	6	15.806	сынок
561	6	15.806	убирай
562	6	15.806	учителей
563	6	15.806	учителем
564	6	15.806	худи
565	6	15.806	чувак
566	6	15.806	шёл
567	6	15.806	щас
568	6	15.806	этаж
569	6	15.806	эх
570	21	15.775	виктор
571	17	15.427	заниматься
572	8	15.420	дверь
573	8	15.420	интересный
574	8	15.420	паре
575	8	15.420	работала
576	8	15.420	родителей
577	355	15.151	но
578	16	15.092	естественно
579	24	15.065	понятно
580	50	14.794	него
581	9	14.526	берут
582	9	14.526	какого
583	9	14.526	машине
584	9	14.526	можете
585	9	14.526	тяжело
586	9	14.526	часа
587	18	14.522	е
588	18	14.522	разных
589	18	14.522	сначала
590	73	14.361	поэтому
591	13	14.290	завтра
592	13	14.290	минус
593	13	14.290	спокойно
594	13	14.290	улице
595	10	14.170	пришла
596	22	14.131	дальше
597	16	13.740	наша
598	16	13.740	совершенно
599	99	13.471	чтобы
600	26	13.404	плюс
601	15	13.374	вас
602	15	13.374	метро
603	18	13.361	каким
604	24	13.263	чуть
605	5	13.172	num
606	5	13.172	арахис
607	5	13.172	бабушку
608	5	13.172	баллов
609	5	13.172	венера
610	5	13.172	вернее
611	5	13.172	видела
612	5	13.172	вкусный
613	5	13.172	вложил
614	5	13.172	вырезать
615	5	13.172	выставках
616	5	13.172	вышло
617	5	13.172	гешу
618	5	13.172	голову
619	5	13.172	горбачёв
620	5	13.172	грязь
621	5	13.172	гэкаю
622	5	13.172	двадцати
623	5	13.172	делаем
624	5	13.172	доехали
625	5	13.172	ездила
626	5	13.172	ездит
